item_id.	131
name_identJP.	大きい観葉植物
name_identEN.	large decorative plant
item_desc1JP.	\t\t立派に育った鉢植え。すくすく育つこの種の植物を、繁栄の証と考えて贈り物にする地方もあるそうだ。\n#～ティリス園芸図鑑～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t観賞用の鉢植えだ。\n#～鑑定報告書：＜鉢＞カテゴリ～\n
item_desc1EN.	\t\tA decorative plant that's grown quite large. Due to its particularily fast growth rate, some regions consider it a symbol of prosperity when given as a gift.\n#~Tyris Illustrated Horticulture Guide~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tPotted plant for ornamental purposes.
