item_id.	45
name_identJP.	クズ
name_identEN.	garbage
item_desc1JP.	\t\t枯れた草が一纏めに丸まったもの。非常に硬いので牧草代わりに使うことは出来ないが、子供に与えると一心不乱に蹴飛ばし続けて遊ぶのだという。\n#～子供を騙す１００のテクニック・お土産編～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t乾燥した草の束だ。\n#～鑑定報告書：＜廃品＞カテゴリ～\n
item_desc1EN.	\t\tWithered weeds and grass bundled into a ball. Although it's too tough to use for a pasture, it is said that children will happily kick it around and play with it continuously.\n#~100 Ways to Deceive Kids - Presents~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tBunch of dried grass. Stinky...
