item_id.	44
name_identJP.	クズ石
name_identEN.	junk stone
item_desc1JP.	\t\t希少価値がまるでない石くれ。そこらへんにいくらでも転がっているが、こういうものを集めている子供も多いようだ。\n#～子供を騙す１００のテクニック・お土産編～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\tとるに足らない小石だ。\n#～鑑定報告書：＜廃品＞カテゴリ～\n
item_desc1EN.	\t\tA completely worthless stone. Although they can be found everywhere, there are many children who collect such things.\n#~100 Ways to Deceive Kids - Presents~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA useless stone that seems to break apart into sand when touched.
