item_id.	9
name_identJP.	細工篭手
name_identEN.	decorated gloves
item_desc1JP.	\t\t様々な細工が散りばめられた上等な篭手。儀礼的な要素が強いが、それでも装飾によっていくらかの防護にはなる。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t飾りのついた篭手だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	\t\tExceptional gloves with various complicated designs on the material. Made mostly for ritual use, but it still provides some degree of protection.\n~Equipment You Could Use Tomorrow~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tArmor. Decorative gloves.
