item_id.	10
name_identJP.	厚篭手
name_identEN.	thick gauntlets
item_desc1JP.	\t\t手首から先を守る為に作られた防具。手先の自由は少々奪われるが手を失うよりはましだろう。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t分厚い篭手だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	\t\tProtective gear intended to guard you from the wrist down. It makes precise movement of the fingers difficult, but that's probably better than losing a hand.\n~Equipment You Could Use Tomorrow~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tArmor. Thick gauntlets.
