item_id.	12
name_identJP.	合成靴
name_identEN.	composite boots
item_desc1JP.	\t\t特殊な素材をかけ合わせてより強固な防護を得た靴。非常に硬く、歩くだけで心地よい音が辺りに響くと言う。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t固い靴だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	\t\tA pair of boots studded with special materials to offer more robust protection. Very solid, and makes a rather pleasing sound when walking around while wearing them.\n~Equipment You Could Use Tomorrow~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tArmor. Study boots.
