item_id.	50
name_identJP.	折れた刃
name_identEN.	broken sword
item_desc1JP.	\t\t真中から二つに折れてしまった刀剣。風雨に晒されはこぼれも酷くもはや価値は微塵も無いが、それでも子供に与えると一生懸命戦士の真似事をするのだから面白い。\n#～子供を騙す１００のテクニック・お土産編～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t使い物にならない破損した剣だ。\n#～鑑定報告書：＜廃品＞カテゴリ～\n
item_desc1EN.	\t\tA sword that was snapped in half. A combination of nicks, scratches, and exposure has made it almost entirely worthless, yet in the hands of a child pretending to be a warrior with all their might, it offers hours of fun.\n#~100 Ways to Deceive Kids - Presents~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA damaged sword that is unusable. The materials can probably be salvaged.
