item_id.	111
name_identJP.	溶解炉
name_identEN.	smelter
item_desc1JP.	\t\t流動した金属が注ぎ込まれた炉。それらの金属は非常に赤赤しく燃え盛り、周囲を明るく照らしている。\n#～より良い業物を目指して～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t赤熱した金属の入った炉。常に周囲を明るく照らす。\n#～鑑定報告書：＜用具＞カテゴリ～\n
item_desc1EN.	\t\tA furnace to melt metal into a liquid form. The molten metal burns a bright red, brightly illuminating the surroundings.\n#~Working Towards a Sharper Sword~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tA furnace containing red-hot metal. It lights up the area.
