item_id.	7
name_identJP.	鎧
name_identEN.	breastplate
item_desc1JP.	\t\t武器の進化に合わせて開発された防具。重量はあるが急所に致命傷を与えない役目は十分に果たしている。\n#～明日から使えるあなたの為の武具集～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t身を守る為に作られた戦闘用の防具だ。\n#～鑑定報告書：＜防具＞カテゴリ～\n
item_desc1EN.	\t\tProtective gear that has developed to counter the evolution of weapons. It's heavy, but it's good at its job of preventing fatal wounds.\n~Equipment You Could Use Tomorrow~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tArmor. A piece of gear made to protect the body.
